Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Filter,Id
0063100000fGm8oAAC,TurkeyOpp-211,Banner,2016-11-11,2016-11-30,11528.8,Renault201611Renault Clio Standart KasimAppnexusMEC,Net Cost (Calc Margin),MediaTrader,Appnexus,0,0,Externally Managed,Triggers,Otomotiv,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5IAAS
0063100000fGm5DAAS,TurkeyOpp-1568,Banner,2016-08-01,2016-08-30,2016,Akbank20168Akbank Vdf Kobi Isbirligi AgustosReklamStoreMC,Net Cost (Calc Margin),MediaTrader,ReklamStore,5000,1000,Externally Managed,Triggers,Finans,0.4,CPC,0.504,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5JAAS
0063100000fGm6PAAS,TurkeyOpp-250,Banner,2016-09-09,2016-09-30,1735.2,Vodafone20169Vodafone EBU Dominos EylulGoClickMS,Net Cost (Calc Margin),MediaTrader,GoClick,4545,954.36,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.45,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1818.18,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5KAAS
0063100000fGm6IAAS,TurkeyOpp-924,Banner,2016-09-01,2016-09-30,2459,Ikea20169IKEA EylulDeskfiveMEC,Net Cost (Calc Margin),MediaTrader,Deskfive,6000,1200,Externally Managed,Triggers,Finans,0.5,CPC,0.512,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5LAAS
0063100000fGm5IAAS,TurkeyOpp-1978,Banner,2016-08-01,2016-08-30,-500,Cosmetica20168Cosmetica AgustosReklamActionMX,Net Cost (Calc Margin),MediaTrader,ReklamAction,0,994.68,Externally Managed,Triggers,Finans,0,CPC,2.9894,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5MAAS
0063100000fGm64AAC,TurkeyOpp-739,Banner,2016-09-01,2016-09-30,3001.2,Wepublic20169Wepublic EylulMedyanetMEC,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,1000,Externally Managed,Triggers,Finans,0.6,CPC,0.6668,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5NAAS
0063100000fGlyWAAS,TurkeyOpp-925,Banner,2016-04-14,2016-04-30,1431.6,Akbank20164Akbank Serbest Hesap DisplayReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,4000,800,Externally Managed,Triggers,Kadin,0.4,CPC,0.4412,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5QAAS
0063100000fGm70AAC,TurkeyOpp-1020,Banner,2016-10-01,2016-10-30,6000,Hopi201610Hopi EkimAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,300,894.27,Externally Managed,Triggers,Alisveris,0.3,CPC,0.851,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,90,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5RAAS
0063100000fGm2dAAC,TurkeyOpp-1283,Banner,2016-05-01,2016-05-31,246,Elca Kozmetik20165Clinique MayisMaxadMS,Net Cost (Calc Margin),MediaTrader,Maxad,10000,123,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,4000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5SAAS
0063100000fGlx9AAC,TurkeyOpp-1635,Banner,2016-03-11,2016-03-14,400,Teknosa20163Teknosa Turuncu Indirim 25-28 MartPopMarkerMC,Net Cost (Calc Margin),MediaTrader,PopMarker,2500,500,Externally Managed,Triggers,Teknoloji,0.4,CPC,-0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5TAAS
0063100000fGm2hAAC,TurkeyOpp-1830,Banner,2016-03-09,2016-03-31,2000,KKB20163KKB TVCReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,5000,981,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5095,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5UAAS
0063100000fGm77AAC,TurkeyOpp-999,Banner,2016-10-01,2016-10-30,11452.6,Michelin201610Michelin Cross Climate Native EkimLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,46000,7816.5,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.3175,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,18400,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5WAAS
0063100000fGm6gAAC,TurkeyOpp-1746,Banner,2016-09-01,2016-09-30,0,Altinbas20169Altinbas Elmas Kampanyasi EylulBannerConnectMEC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,180.78,Externally Managed,Triggers,Finans,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Adserver,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5XAAS
