Opportunity__c,External_Id__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
006630000042baRAAQ,1821289286,Xaxis SYNC,3/11/2016,3/30/2016,19500,Bayer0316_Supradyn_Clipkit_SYNC_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clipkit,325000,937,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.3169,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cebAAA,-1929544181,Xaxis Tv,4/14/2016,4/30/2016,1500,Vodafone0416_Heroes_Samsung_7_Preroll_Reklamstore_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamstore,50000,684.66,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.5,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cePAAQ,2032466945,Xaxis Tv,4/20/2016,4/30/2016,2145,GSK0416_Breathe_Right_Preroll_Nokta_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,65000,1154,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.3241,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cePAAQ,860231936,Xaxis Tv,4/20/2016,4/30/2016,2805,GSK0416_Breathe_Right_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,85000,1131,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.3208,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042dGHAAY,1484320396,Xaxis Audio Recog,5/1/2016,5/31/2016,6000,Michelin0516_Cross_Climate_Audio_recognation_Digitalmarcom_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalmarcom,100000,6000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.3667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cf6AAA,-2133020253,Xaxis Lookalike,5/4/2016,5/8/2016,300,Pandora0516_Anneler_Gunu_LAL_Matrouge_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Matrouge,200000,545.44,Externally Managed,Triggers,Selected Sites,1.5,cpm,0.7433,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cdpAAA,-482657902,Xaxis Seeding,4/19/2016,4/28/2016,6,Mavi0416_Jeans_Seeding_Clipkit_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clipkit,10000,6000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.6,cpc,0.3333,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042ceOAAQ,-544344824,Xaxis Display Plus,4/20/2016,4/30/2016,1000,Shell0416_Rimula_interest_Bond_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,1000000,878.18,Externally Managed,Triggers,Selected Sites,1,cpm,0.5,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042ccwAAA,1980706486,Xaxis Audio Recog,3/18/2016,3/30/2016,6000,Michelin0316_Ps4_Digitalmarcom_AudioRecognation_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalmarcom,100000,6000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.375,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042bYMAAY,160239521,Xaxis Rich Media,1/6/2016,1/31/2016,0,Clinique_0116_Ocak_interstitial_Sem_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Sem Digital,50000,0,Externally Managed,Triggers,Interstitial,0,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042ba7AAA,1663208898,Xaxis Display Plus,3/25/2016,3/27/2016,1000,Akbank0316_Axess_Haftasonu_Medyanet_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1000000,1004.13,Externally Managed,Triggers,Selected Sites,1,cpm,0.9004,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bXbAAI,484753683,Xaxis Rich Media,1/22/2016,1/25/2016,2125,Teknosa0116_Turuncu_Indirim_Faz4_Interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,500000,1924,Externally Managed,Triggers,Interstitial,4.25,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bZDAAY,-2087572061,Xaxis Lookalike,2/8/2016,2/29/2016,1400,Bayer0216_KSTV_Digitalm_LAL_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1000000,1421.66,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.8593,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bZPAAY,-878941689,Xaxis Tv,2/16/2016,2/29/2016,990,GSK0216_Panaheat_Bond_Preroll_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,30000,990,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.697,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042baUAAQ,1878888960,Xaxis Tv,3/7/2016,3/30/2016,750,Lactamil0316_Emziren_Anneler_Matrouge_Preroll_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Matrouge,25000,648.96,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.3333,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042dGgAAI,1779396476,Xaxis SYNC,5/10/2016,5/31/2016,10000,TFKB0516_internet_sube_lansman_SYNC_Appnexus_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Appnexus,1000000,10000,Externally Managed,Triggers,Selected Sites,10,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
