Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - Business Leasing - W10-16 - 2016,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - Business Leasing - W2-6 - 2016,"Feb 29, 2016",Closed Won
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - Privat Leasing - W10-16 - 2016,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - Privat Leasing - W2-6 - 2016,"Feb 29, 2016",Closed Won
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - Privatleasing - September/Oktober 2016,"Oct 10, 2016",Closed Won
Xaxis,a0063000002sxdtAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxKAAT,DKK,Volvo Personvogne Danmark A/S - Volvo - S/V90 - Efterar 2016,"Oct 30, 2016",Closed Won
Xaxis,a0063000002sxdUAAQ,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfweAAD,DKK,Groupm Danmark A/S - Travel Sense A/S - Digital bannerkampagne,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdUAAQ,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfweAAD,DKK,Groupm Trading A/S - Travel Sense A/S - Digital bannerkampagne,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdUAAQ,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfweAAD,DKK,Travel Sense A/S - Xaxis - Marts,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Cirkusbygningen - B2B Kampagne - uge 37-52,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Cirkusbygningen - Julefrokost kampagne - uge 37-46,"Nov 20, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Cirkusbygningen - Online - Uge 9/12,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Cirkusbygningen - Retargeting - Tracking,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Wallmanns - Retargeting - Tracking,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Wallmans - Digital - Uge 32-52 - 2016,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxdvAAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxNAAT,DKK,WALLMANS A/S - Wallmans online,"Jun 30, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - Online - 2016 - april,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - Online - 2016 - september-december,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - online - 2016 - TV Offer okt-dec,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - Online 2016 - Januar,"Feb 29, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - TV uge 40-46,"Nov 20, 2016",Closed Won
Xaxis,a0063000002sxdwAAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxOAAT,DKK,WAOO! A/S - Waoo - 2016 - feb + marts banner,"Mar 31, 2016",Closed Won
