Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004SxDuAAK,NordicOrderID:29277,Xaxis TV,2016-09-06 12:00:00,2016-09-30 12:00:00,16500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Targeted Gamers DK,Video
00663000004SxDuAAK,NordicOrderID:29279,Xaxis TV,2016-09-06 12:00:00,2016-09-30 12:00:00,16500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Targeted Gamers DK,Video
00663000004Sx43AAC,NordicOrderID:15097,Xaxis TV,2016-04-14 12:00:00,2016-04-30 12:00:00,16560,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,RON - Lav frekvens,Video
00663000004SxAaAAK,NordicOrderID:31452,Xaxis TV,2016-10-03 12:00:00,2016-10-16 12:00:00,16667,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"RON W25-40, young moms & young business women Desktop Banner 300x600, 300x250, 930x180 freq. 2 peer",Video
00663000004Sx8AAAS,NordicOrderID:31642,Xaxis TV,2016-10-01 12:00:00,2016-11-02 12:00:00,16710,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - RON - Born (Kobt af Foraeldre),Video
00663000004Sx1SAAS,NordicOrderID:10761,Xaxis TV,2016-01-06 12:00:00,2016-01-30 12:00:00,16747,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Frederikshavn,Video
00663000004Sx35AAC,NordicOrderID:14991,Xaxis TV,2016-01-06 12:00:00,2016-01-30 12:00:00,16747,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Frederikshavn,Video
00663000004Sx9FAAS,NordicOrderID:19414,Xaxis TV,2016-07-28 12:00:00,2016-08-31 12:00:00,16750,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forlaengelse: Retargeting: Nimb og Tivolis madsektion,Video
00663000004Sx14AAC,NordicOrderID:12031,Xaxis TV,2016-02-01 12:00:00,2016-03-31 12:00:00,16788,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Semantisk targeting,Video
00663000004SxCyAAK,NordicOrderID:11400,Xaxis TV,2016-01-01 12:00:00,2016-04-03 12:00:00,16852,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"ROS med Target, Mobil",Video
00663000004SxAcAAK,NordicOrderID:20098,Xaxis TV,2016-09-12 12:00:00,2016-10-02 12:00:00,16875,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Whitelist Men 16-30, the common urban guy+retargeting Desktop Banner freq. 2 pr week",Video
00663000004Sx48AAC,NordicOrderID:30162,Xaxis TV,2016-09-21 12:00:00,2016-09-30 12:00:00,16875,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,RON / RTG,Video
00663000004SwyCAAS,NordicOrderID:11242,Xaxis TV,2016-01-11 12:00:00,2016-07-03 12:00:00,17000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain",Video
00663000004SwyhAAC,NordicOrderID:14747,Xaxis TV,2016-03-28 12:00:00,2016-08-28 12:00:00,17000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Late Sale - BHV + RTG Geo target Jyllnad,Video
00663000004Sx7HAAS,NordicOrderID:17246,Xaxis Mobile,2016-05-17 12:00:00,2016-06-02 12:00:00,17000,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Retargeting + Behavioral Targeting,Mobile
00663000004SwyDAAS,NordicOrderID:18281,Xaxis TV,2016-07-04 12:00:00,2016-12-18 12:00:00,17000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain. (mobil, tablet & desktop)",Video
