Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fk5TBAAY,,Banner,2016-12-13,2016-12-31,1500,Vodafone201612Vodafone Breaking Bad AralikDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,5000,0,Externally Managed,Triggers,Teknoloji,0.4,CPC,1,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fk5SKAAY,,Banner,2016-12-01,2016-12-20,1000,Vodafone201612Vodafone Red Budget HTML 5 AralikReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,1667,237.3,Externally Managed,Triggers,Teknoloji,0.6,CPC,0.7627,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fk5TWAAY,,Banner,2016-12-16,2016-12-31,11538.46,Renault201612RENAULT Satis Aralik Standart BannerAreklamMEC,Net Cost (Calc Margin),MediaTrader,Areklam,35000,6579.4,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.4298,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,14000,012i0000001EB0yAAG
0063100000fk5TVAAY,,Banner,2016-12-16,2016-12-31,21378.9,Renault201612RENAULT Satis Aralik NativeReklamNativeMEC,Net Cost (Calc Margin),MediaTrader,ReklamNative,7200,1440,Externally Managed,Triggers,Otomotiv,0.5,CPC,0.9326,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,3600,012i0000001EB0yAAG
0063100000fk5RvAAI,,Banner,2016-11-24,2016-11-27,725.4,BobbiBrown201611Bobbi Brown Black Friday KasimAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,166667,46.47,Externally Managed,Triggers,Kadin,0.4,CPM,0.9359,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,66.67,012i0000001EB0yAAG
0063100000fk5SHAAY,,Banner,2016-12-16,2016-12-18,1500,Teknosa201612Teknosa Samsung 16-18 AralikEngageyaMC,Net Cost (Calc Margin),MediaTrader,Engageya,3500,700,Externally Managed,Triggers,Teknoloji,0.45,CPC,0.5333,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,1575,012i0000001EB0yAAG
0063100000fk5SaAAI,,Banner,2016-12-01,2016-12-30,3960.85,Clinique201612Clinique AralikMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,110.88,Externally Managed,Triggers,Kadin,0.4,CPM,0.972,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,200,012i0000001EB0yAAG
0063100000fk5SMAAY,,Banner,2016-12-16,2016-12-21,5000,KKB201612KKB AralikMynetMC,Net Cost (Calc Margin),MediaTrader,Mynet,100000,750,Externally Managed,Triggers,Finans,0.4,CPM,0.85,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,40,012i0000001EB0yAAG
0063100000fk5SJAAY,,Banner,2016-12-01,2016-12-20,6666,Vodafone201612Vodafone Project Galactic AralikAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,333333,465.18,Externally Managed,Triggers,Teknoloji,0.6,CPM,0.9302,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,200,012i0000001EB0yAAG
0063100000fk5SgAAI,,Banner,2016-12-28,2016-12-31,2333.34,Akbank201612Akbank Yilbasi KampanyasiMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,600000,0,Externally Managed,Triggers,Alisveris,0.4,CPM,1,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,240,012i0000001EB0yAAG
0063100000fk5SxAAI,,Banner,2016-12-01,2016-12-31,1000,Vodafone201612Vodafone - MNP New Year - VF Hedefli AralikReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,3333,97.5,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.9025,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fk5TSAAY,,Banner,2016-12-16,2016-12-31,3076.92,Renault201612RENAULT Dacia Duster Standart BannerAdnboost StandartMEC,Net Cost (Calc Margin),MediaTrader,Adnboost Standart,4000,1000,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.675,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fk5S0AAI,,Banner,2016-11-11,2016-11-30,0,Unico201611Mothercare KasimBannerConnectMEC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,32.56,Externally Managed,Triggers,Alisveris,0.6,CPC,-10260.7,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1000.2,012i0000001EB0yAAG
0063100000fk5TQAAY,,Banner,2016-12-27,2016-12-31,1388.5,EsteeLauder201612Estee Lauder Lip Potion AralikReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,3000,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fk5RwAAI,,Banner,2016-11-24,2016-11-27,766.8,MAC201611MAC Black Friday KasimLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,2000,517,Externally Managed,Triggers,Kadin,0.4,CPC,0.3258,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,800,012i0000001EB0yAAG
0063100000fk5TWAAY,,Banner,2016-12-16,2016-12-31,11538.46,Renault201612RENAULT Satis Aralik Standart BannerAdnboost StandartMEC,Net Cost (Calc Margin),MediaTrader,Adnboost Standart,40000,10000,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.1333,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,16000,012i0000001EB0yAAG
0063100000fk5SLAAY,,Banner,2016-12-01,2016-12-20,1000,Vodafone201612Vodafone Red Budget Statik AralikReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,1667,253.8,Externally Managed,Triggers,Teknoloji,0.6,CPC,0.7462,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
