Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Id,Original_Gross_Budget__c
0063100000ekipWAAQ,TurkeyOpp-741,Xaxis Rich Media,2016-09-06,2016-09-09,1250,Gratis0916_Kurban_Bayrami_interstitial_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,500000,2000,Externally Managed,Triggers,Interstitial,4.25,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKdlAAAS,2125
0063100000ekimhAAA,TurkeyOpp-613,Xaxis TV,2016-06-01,2016-06-30,960,BP0616_Launch_preroll_Nokta_MS,Net Cost (Calc Margin),MediaTrader,Nokta,80000,4720.52,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.04,cpv,0.7966,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdhSAAS,3200
0063100000ejrAOAAY,TurkeyOpp-521,Xaxis Rich Media,2016-01-15,2016-01-18,450,Teknosa0116_Turuncu_Indirim_Faz3_Interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,200000,1250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.64,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe39AAC,850
0063100000ekinCAAQ,TurkeyOpp-980,Xaxis Display Plus,2016-06-07,2016-06-30,700,Marshall0616_Antibakteriyel_interest_Dogus_MC,Net Cost (Calc Margin),MediaTrader,Dogus,2000000,2000,Externally Managed,Triggers,Selected Sites,1,cpm,0.65,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKduuAAC,2000
0063100000ekip8AAA,TurkeyOpp-1079,Xaxis Display Plus,2016-08-05,2016-08-31,250,Xerox0816_Agustos_interest_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,Medyanet,2500000,3000,Externally Managed,Triggers,Selected Sites,1.2,cpm,0.9167,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeE1AAK,3000
0063100000ejrHgAAI,TurkeyOpp-765,Xaxis Display Plus,2016-04-08,2016-04-28,1500,Nike0416_Women_Race_interstitial_Acunn_MS,Net Cost (Calc Margin),MediaTrader,Acunn,1000000,0,Externally Managed,Triggers,Interstitial,0,cpm,0,From spreadsheet: Turkey | Campaign Data,Interstitial,Display,a013100000fKdy0AAC,0
0063100000ekimmAAA,TurkeyOpp-2214,Xaxis TV,2016-06-10,2016-06-30,375,Michellin0616_8000KM_Offmarket_preroll_Midyo_MEC,Net Cost (Calc Margin),MediaTrader,Midyo,75000,2645.58,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.035,cpv,0.8583,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdxvAAC,2625
0063100000ekin2AAA,TurkeyOpp-1847,Xaxis Rich Media,2016-06-20,2016-06-30,612,Vestel0616_Memleketten_Gelsin_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,600000,2500,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7552,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe77AAC,2550
0063100000ejrIlAAI,TurkeyOpp-1273,Xaxis Display Plus,2016-05-01,2016-05-07,0,Atasay0516_Anneler_Gunu_interest_Appnexus_MX,Net Cost (Calc Margin),MediaTrader,Appnexus,400000,106.95,Externally Managed,Triggers,Selected Sites,1.8,cpm,1,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdbPAAS,720
0063100000ekimjAAA,TurkeyOpp-1022,Xaxis Display Plus,2016-06-14,2016-06-30,373.8,Michelin_8000KM_Prepurchase_Digitalm_MEC,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,3364.24,Externally Managed,Triggers,Selected Sites,1.8,cpm,0.8889,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdvrAAC,3600
