Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000emtLoAAI,TurkeyOpp-691,Xaxis Mobile,2016-04-01,2016-04-10,5250,Vodafone0416_4.5G_Lansman_Mobil_Prestitial_Move_MS,Net Cost (Calc Margin),MediaTrader,Move,1500000,4500,Externally Managed,Triggers,Interstitial,7,cpm,0.1429,From spreadsheet: Turkey | Campaign Data,Interstitial,Mobile,10500,012i0000001EB0yAAG
0063100000emtLoAAI,TurkeyOpp-2130,Xaxis Mobile,2016-04-01,2016-04-10,10500,Vodafone0416_4.5G_Lansman_Mobil_Prestitial_Acunn_MS,Net Cost (Calc Margin),MediaTrader,Acunn,1500000,2508.58,Externally Managed,Triggers,Interstitial,7,cpm,0.7611,From spreadsheet: Turkey | Campaign Data,Interstitial,Mobile,10500,012i0000001EB0yAAG
0063100000emtLoAAI,TurkeyOpp-2214,Xaxis Mobile,2016-04-01,2016-04-10,12250,Vodafone0416_4.5G_Lansman_Mobil_Prestitial_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1750000,4375,Externally Managed,Triggers,Interstitial,7,cpm,0.6429,From spreadsheet: Turkey | Campaign Data,Interstitial,Mobile,12250,012i0000001EB0yAAG
0063100000emtLoAAI,TurkeyOpp-327,Xaxis Mobile,2016-04-01,2016-04-10,7000,Vodafone0416_4.5G_Lansman_Mobil_Prestitial_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,2500,Externally Managed,Triggers,Interstitial,7,cpm,0.6429,From spreadsheet: Turkey | Campaign Data,Interstitial,Mobile,7000,012i0000001EB0yAAG
0063100000emtLjAAI,TurkeyOpp-367,TV Sync,2016-04-03,2016-04-03,36000,Vodafone0416_4.5G_Lansman_SYNC_Clipkit_MS,Net Cost (Calc Margin),MediaTrader,Clipkit,600000,22200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.3833,From spreadsheet: Turkey | Campaign Data,Online Video,Video,36000,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-2364,Xaxis TV,2016-04-14,2016-04-30,150,Vodafone0416_Heroes_Samsung_7_Preroll_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,50000,750,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,-4,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1500,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-1689,Xaxis TV,2016-04-14,2016-04-30,1325.7,Vodafone0416_Heroes_Samsung_7_Preroll_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,100000,265.14,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.8,From spreadsheet: Turkey | Campaign Data,Online Video,Video,3000,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-136,Xaxis TV,2016-04-14,2016-04-30,28.33,Vodafone0416_Heroes_Samsung_7_Preroll_Acunn_MS,Net Cost (Calc Margin),MediaTrader,Acunn,90000,900,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,-30.7684,From spreadsheet: Turkey | Campaign Data,Online Video,Video,2700,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-2024,Xaxis TV,2016-04-14,2016-04-30,1329.24,Vodafone0416_Heroes_Samsung_7_Preroll_Sem_MS,Net Cost (Calc Margin),MediaTrader,Sem Digital,60000,886.16,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.3333,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1800,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-886,Xaxis TV,2016-04-14,2016-04-30,2036.16,Vodafone0416_Heroes_Samsung_7_Preroll_Zapkolik_MS,Net Cost (Calc Margin),MediaTrader,Digitals,50000,1000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.5089,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1500,012i0000001EB0yAAG
