Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
0063100000ejrKlAAI,TurkeyOpp-386,Xaxis Display Plus,2016-05-01,2016-05-31,2000,Shell0516_Tasit_Tanima_interest_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2000000,2000,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKlAAI,TurkeyOpp-385,Xaxis Display Plus,2016-05-01,2016-05-31,2500,Shell0516_Tasit_Tanima_interest_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,2500000,1410,Externally Managed,Triggers,Selected Sites,1,cpm,0.8227,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKlAAI,TurkeyOpp-387,Xaxis Display Plus,2016-05-01,2016-05-31,1000,Shell0516_Tasit_Tanima_interest_Bond_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,1000000,1000,Externally Managed,Triggers,Selected Sites,1,cpm,0.5,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKmAAI,TurkeyOpp-449,Xaxis Mobil,2016-05-06,2016-05-31,6000,Shell0516_Wts_Mobile_prestitial_Reklamstore_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamstore,800000,6000,Externally Managed,Triggers,Selected Sites,7.5,cpm,0.6,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKmAAI,TurkeyOpp-450,Xaxis Mobil,2016-05-06,2016-05-31,4500,Shell0516_Wts_Mobile_prestitial_Move_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Move,600000,3750,Externally Managed,Triggers,Selected Sites,7.5,cpm,0.52,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKnAAI,TurkeyOpp-452,Xaxis Tv,2016-05-06,2016-05-31,4950,Shell0516_Wts_Preroll_Nokta_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,150000,4966.53,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.6376,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKnAAI,TurkeyOpp-455,Xaxis Tv,2016-05-06,2016-05-31,4290,Shell0516_Wts_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,130000,4454.6,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.7082,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKnAAI,TurkeyOpp-453,Xaxis Tv,2016-05-06,2016-05-31,3300,Shell0516_Wts_Preroll_Crep_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Crep Digital,100000,3833.91,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.4262,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKnAAI,TurkeyOpp-451,Xaxis Tv,2016-05-06,2016-05-31,5940,Shell0516_Wts_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Midyo,180000,3078.34,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.7536,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKnAAI,TurkeyOpp-454,Xaxis Tv,2016-05-06,2016-05-31,4290,Shell0516_Wts_Preroll_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,130000,4291.62,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8183,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
