Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Field 24
0063100000emtSnAAI,Turkey:2835,Xaxis Rich Media,2016-09-23,2016-09-26,1000,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,250000,550.49,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4495,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1062.5,012i0000001EB0yAAG,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_MC
0063100000emtSnAAI,Turkey:287,Xaxis Rich Media,2016-09-23,2016-09-26,2000,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,500000,1208.38,Externally Managed,Triggers,Interstitial,4.25,cpm,0.3958,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_MC
0063100000emtSnAAI,Turkey:1737,Xaxis Rich Media,2016-09-23,2016-09-26,6000,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,1500000,750,Externally Managed,Triggers,Interstitial,4.25,cpm,0.875,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,6375,012i0000001EB0yAAG,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_MC
0063100000emtSnAAI,Turkey:1502,Xaxis Rich Media,2016-09-23,2016-09-26,1000,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,200000,155.03,Externally Managed,Triggers,Interstitial,4.25,cpm,0.845,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,850,012i0000001EB0yAAG,Teknosa0916_Turuncu_Indirim_23-26Eylul_interstitial_MC
0063100000emtSWAAY,Turkey:2812,Xaxis Rich Media,2016-09-02,2016-09-05,642.77,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,100000,125,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8055,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,425,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_MC
0063100000emtSWAAY,Turkey:2752,Xaxis Rich Media,2016-09-02,2016-09-05,850,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,200000,500,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,850,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_MC
0063100000emtSWAAY,Turkey:3039,Xaxis Rich Media,2016-09-02,2016-09-05,1000,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.75,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_2-5Eylul_interstitial_MC
0063100000emtStAAI,Turkey:3092,Xaxis TV,2016-09-27,2016-09-29,1300,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,40000,552.26,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5752,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1320,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_MC
0063100000emtStAAI,Turkey:1463,Xaxis TV,2016-09-27,2016-09-29,2350,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_Fox_MC,Net Cost (Calc Margin),MediaTrader,Fox,80000,800,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.6596,From spreadsheet: Turkey | Campaign Data,Online Video,Video,2640,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_MC
0063100000emtStAAI,Turkey:175,Xaxis TV,2016-09-27,2016-09-29,2350,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,Midyo,80000,400,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8298,From spreadsheet: Turkey | Campaign Data,Online Video,Video,2640,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_27-29Eylul_Preroll_MC
0063100000emtSXAAY,Turkey:78,Xaxis TV,2016-09-06,2016-09-08,1600,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_Star_MC,Net Cost (Calc Margin),MediaTrader,Star,50000,0.23,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.9999,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1650,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_MC
0063100000emtSXAAY,Turkey:1493,Xaxis TV,2016-09-06,2016-09-08,660.36,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,30000,180,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.7274,From spreadsheet: Turkey | Campaign Data,Online Video,Video,990,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_MC
0063100000emtSXAAY,Turkey:1870,Xaxis TV,2016-09-06,2016-09-08,700,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,30000,450,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.3571,From spreadsheet: Turkey | Campaign Data,Online Video,Video,990,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_6-8Eylul_Preroll_MC
0063100000emtVMAAY,Turkey:2142,Xaxis Rich Media,2016-10-21,2016-10-31,832.12,Teknosa1016_21-24Ekim_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,350000,244.74,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7059,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1487.5,012i0000001EB0yAAG,Teknosa1016_21-24Ekim_interstitial_MC
0063100000emtVMAAY,Turkey:1483,Xaxis Rich Media,2016-10-21,2016-10-31,1487.62,Teknosa1016_21-24Ekim_interstitial_Star_MC,Net Cost (Calc Margin),MediaTrader,Star,350000,875,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1487.5,012i0000001EB0yAAG,Teknosa1016_21-24Ekim_interstitial_MC
0063100000emtVMAAY,Turkey:451,Xaxis Rich Media,2016-10-21,2016-10-31,2562.06,Teknosa1016_21-24Ekim_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,650000,323.99,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8735,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2762.5,012i0000001EB0yAAG,Teknosa1016_21-24Ekim_interstitial_MC
0063100000emtVMAAY,Turkey:3073,Xaxis Rich Media,2016-10-21,2016-10-31,251.98,Teknosa1016_21-24Ekim_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,500000,148.23,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG,Teknosa1016_21-24Ekim_interstitial_MC
0063100000emtVMAAY,Turkey:2569,Xaxis Rich Media,2016-10-21,2016-10-31,1912.86,Teknosa1016_21-24Ekim_interstitial_Mynet_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,500000,1125.21,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG,Teknosa1016_21-24Ekim_interstitial_MC
0063100000emtVNAAY,Turkey:2598,Xaxis Rich Media,2016-10-06,2016-10-31,1000,Teknosa1016_Disney_iletisimi_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,350000,244.74,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7553,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1487.5,012i0000001EB0yAAG,Teknosa1016_Disney_iletisimi_interstitial_MC
0063100000emtVNAAY,Turkey:2545,Xaxis Rich Media,2016-10-06,2016-10-31,1000,Teknosa1016_Disney_iletisimi_interstitial_Mynet_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,750,Externally Managed,Triggers,Interstitial,4.25,cpm,0.25,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1275,012i0000001EB0yAAG,Teknosa1016_Disney_iletisimi_interstitial_MC
